Acronym,Meaning
IOM," Iowa, Ohio, Michigan (soybean origin),Institute of Medicine,International Organisation for Migration,Isle of Man"
IONA ,"  Islands of the North Atlantic (alternate name for Great Britain, Ireland, the Isle of Man, and related islands)"
IOT ,  British Indian Ocean Territory (ISO 3166 trigram)
IOU ,"  ""I Owe You"" (Promissory note)"
IP ,  Clipperton Island (FIPS 10
IPA ,  India Pale Ale 
IPB ,  Intelligence Preparation of the Battlefield
IPCC ,  Intergovernmental Panel on Climate Change 
ipk ,  Inupiaq language (ISO 639
IPL ,  Inferior Parietal Lobule
IPN ,"  Instytut Pamieci Narodowej (Polish, ""Institute for National Memory"")"
IPO ,  Initial Public Offering
IPR ,  In Progress Review 
IPT ,  Integrated Product/Project Team
IPTS ,  Institute for Prospective Technological Studies
IPTV ,  Internet Protocol TeleVision
IPW ,  Interrogation of Prisoners of War
iq ,"  idem quod (Latin, ""the same as"")"
IQ ,  Intelligence Quotient 
IQD ,  Iraqi dinar (ISO 4217 currency code)
Ir ,  Iridium
IR ,  Infrared 
IRA ,  Individual Retirement Account 
IRAD ,  Internal Research and Development
IRAN , (I) Inspect and Repair As Necessary
IRAS ,  Infrared Astronomical Satellite
IRB ,  International Rugby Board
IRBM ,  Intermediate Range Ballistic Missile
IRC ,  International Red Cross 
IREA ,  Intermountain Rural Electric Association
IRL ,  Ireland (ISO 3166 trigram) 
IRM ,  Illinois Railway Museum 
IRN ,  Iran (ISO 3166 trigram)
IRINN , Islamic Republic of Iran News Network
IRO ,  International Refugee Organisation
IRQ ,  Iraq (ISO 3166 trigram)
IRR ,  Iranian rial (ISO 4217 currency code)
IRS ,  U.S. Internal Revenue Service
IRSN ,"  Institut de radioprotection et de sûreté nucléaire (French, ""Institute for Radiation Protection and Nuclear Safety"")"
IRST ,  Infra
is ,  Icelandic language (ISO 639
IS," Iceland (ISO 3166 digram),Israel (FIPS 10"
ISA," Individual Savings Account,Industry Standard Architecture,Instruction Set Architecture,International Seabed Authority"
ISAAA ,  International Service for the Acquisition of Agri
ISAF," International Sailing Federation,International Security Assistance Force"
ISAR ,  Inverse SAR (Synthetic Aperture Radar)
ISB ,  Intermediate Staging Base
ISBN ,  International Standard Book Number (ISO 2108)
ISCCP ,  International Satellite Cloud Climatology Project
ISCII ,  Indian Standard Code for Information Interchange
ISDN , Integrated Services Digital Network
ISEF ,  Intel International Science and Engineering Fair
ISEN ,  Internet Search Environment Number
ISF ,  Internal Security Force
ISI,"Indian Standards Institute, former name of the Bureau of Indian Standards,Inter"
ISIL , (i/a) Islamic State of Iraq and the Levant
ISIS,"(i/a) Institute for Science and International Security,Islamic State of Iraq and Syria"
ISK ,  Icelandic krona (ISO 4217 currency code)
isl ,  Icelandic language (ISO 639
ISL ,  Iceland (ISO 3166 trigram)
ISLN ,  International Standard Lawyer Number (used initially by LexisNexis Martindale
ISM," Industrial, scientific or medical, Interstellar medium"
ISMB ,  International Society of Matrix Biologists
ISMC ,  Intelligent Sounding Meaningless Conversation
ISO," In Search Of, International Organization for Standardization (from the Greek ????, isos, meaning ""equal"")"
ISOGP ,  Indian Society of Orthodontics for General Practitioners [2]
ISP," International Standardized Profile,Internet Service Provider,Information Systems Professional"
ISPE , (a/i) International Society for Pharmacoepidemiology
ISR," Intelligence, Surveillance and Reconnaissance, Israel (ISO 3166 trigram)"
ISRO ,  Indian Space Research Organisation
ISS," International Shorebird Survey (North America),International Space Station"
ISSCR ,  International Society for Stem Cell Research
ISSN ,  International standard serial number (ISO 3297)
IST," Information System Technology,UCF Institute for Simulation and Training"
ISTAR ,"  Intelligence, Surveillance, Target Acquisition, and Reconnaissance"
ISTC ,  Institute of Scientific and Technical Communications (UK)
ISTS ,  Intel Science Talent Search
ISU," Integrated Sight Unit,International Skating Union,IT[edit]"
it ,  Italian language (ISO 639
IT," InferoTemporal (neurophysiology),Information Technology, Italy (FIPS 10"
ita ,  Italian language (ISO 639
ITA ,  Italy (ISO 3166 trigram)
ITAG ,  Inertial Terrain
ITALY ,  I'll Truly Always Love You
ITAS ,  Improved Target Acquisition Sight
ITC ,  InferoTemporal Cortex (neurophysiology)
ITCZ , (i/p) Intertropical Convergence Zone
ITEC ,  Information Technology Exposition & Conference
ITEMS ,  Interactive Tactical Environment Management System
ITER ,  International Thermonuclear Experimental Reactor
ITF ,  International Tennis Federation
ITK ,  In The Know
ITN ,  Independent Television News (British)
ITS, Incompatible Time
ITT ,  International Telephone and Telegraph (U.S.)
ITTO ,  International Tropical Timber Organization
ITU, Intent
iu ,   Inuktitut language (ISO 639
IUCN ,  International Union for the Conservation of Nature and Natural Resources (World Conservation Union)
IUPAC ,"  International Union of Pure and Applied Chemistry (pronounced ""eye"
IUSS ,  Integrated Undersea Surveillance System 
IV ,  Côte d'Ivoire (FIPS 10
IVD ,"  Internet Video Device, intra vas device"
Iveco ,  Industrial Vehicles Corporation
IVF ,  In Vitro Fertilisation
IVI ,  Interchangeable Virtual Instrument
IVIS , (i/a) Inter
IVL ,  Inter
IVM ,  In Vitro [Oocyte] Maturation
IVO ,  In Vicinity Of
IW ,  Information Warfare
IWARS ,  Infantry Warrior Simulation
IWC ,  International Whaling Commission
IWW ,  Industrial Workers of the World
IX ,  Nine (in Roman numerals)
IXT ,  IntraText digital library; IntraText lexical hypertext
IY ,  Saudi
IZ ,  Iraq (FIPS 10
J ,  Joule
J1 ,  Joint [Manpower &] Personnel Directorate
J2 ,  Joint Intelligence Directorate
J2EE ,"  Java 2 Platform, Enterprise ion"
J2ME ,"  Java 2 Platform, Micro ion"
J2SE ,"  Java 2 Platform, Standard ion"
J3 ,  Joint Operations Directorate
J4 ,  Joint Logistics Directorate
J5 ,  Joint Strategic Plans & Policy Directorate
J6 ,"  Joint Information Technology Directorate (Command, Control, Communications & Computer Systems)"
J7 ,  Joint Operational Plans & Interoperability Directorate
J8 ,"  Joint Force Structure, Resources, & Assessment Directorate"
J9 ,  Joint Public Affairs Directorate (Civilian
ja ,  Japanese language (ISO 639
JA ,  Japan (FIPS 10
JAFT ,  Just A Field Test
JAG ,  Judge Advocate General Corps (military law)
JAL ,  Japan Airlines
JALLC ,  Joint Analysis and Lessons Learned Centre (NATO)
JAM ,  Jamaica (ISO 3166 trigram)
JAMA ,  Journal of the American Medical Association
JANET ,  Joint Academic Network
JANUS ,  Joint Academic Network Using Satellites (UK) 
JATO ,  Jet
jav ,  Javanese language (ISO 639
JB ,  Junior Branch
JB ,  Jail Bait
JBFSA ,  Joint Blue Force Situational Awareness
JCATS ,"  Joint Conflict And Tactical Simulation (""djay"
JCDB ,  Joint Common Data Base
JCDS ,  Joint Chiefs of the Defence Staff
JCIDS ,  Joint Capabilities Integration and Development System
JCIET ,  Joint Combat Identification Evaluation Team
JCL ,  Job Control Language
JCMOTF ,  Joint Civil
JCP ,  Java Community Process
JCPM ,  Java Child Process Manager 
JCS ,  Joint Chiefs of Staff
JCW ,  Juggalo Championship Wrestling
JD," Jack Daniel's (whiskey),Julian day,Juris Doctor (Latin, ""doctor of jurisprudence"")"
JDAM ," (a/i) Joint Direct Attack Munition (""djay"
JDBC ,  Java Data Base Connectivity
JDCC ,"  UK Joint Doctrine and Concepts Centre, now the Development, Concepts, and Doctrine Centre, DCDC"
JDEM ,  Joint Dark Energy Mission
JDK ,  Java Development Kit
JDL ,  Jewish Defense League
JDM," Japanese domestic market, referring specifically to automobiles and parts,Java Data Mining,Joint design manufacturing,JE[edit]"
JE ,  Jersey (FIPS 10
JEB," James Ewell Brown (Stuart),John Ellis Bush"
JEDP ,"  Jahwist, Elohist, Deuteronomist, Priestly (according to the documentary hypothesis, the sources of the Torah)"
JEE ,"  Java Platform, Enterprise ion"
JEFX ,  Joint Expeditionary Force eXperiment
JEPD," Jahwist, Elohist, Priestly, Deuteronomist,Jointly Exhaustive, Pairwise Disjoint"
JET ,  Joint European Torus
JEZ ,  Joint Engagement Zone
JFACC ,  Joint Force Air Component Commander
JFACTSU ,  U.S. Joint Forward Air Control Training and Standards Unit
JFC ,  Joint Force Commander
JFCOM ,"  U.S. Joint Forces Command (""jiff"
JFET , (i/a) Junction Field
JFK ,  John Fitzgerald Kennedy or the airport named after him.
JFLCC ,  Joint Force Land Component Commander
JFMCC ,  Joint Force Maritime Component Commander
JFO ,  Journal of Field Ornithology
JFSOCC ,  Joint Force Special Operations Component Commander
JFTX ,  Joint Field Training Exercise
JH ,  Japan Highway Public Corporation
JH ,  Jharkhand (Indian state code)
JI ,  Joint Implementation
JIB ,  Joint Information Bureau
JIC ,  Joint Intelligence Centre
JINI ,  Java Intelligent Network Infrastructure
JITC ,  Joint Interoperability Test Command
JIVE ,  Joint Institute for VLBI (Very Long Baseline Interferometry) in Europe
JJAP ,  Japanese Journal of Applied Physics
JK ,  Jedi Knight 
JL ,  Japan Airlines (IATA airline designator)
JLA ,  Justice League of America
JM ,  Jamaica (FIPS 10
JMD ,  Jamaican dollar (ISO 4217 currency code)
JMS ,  Java Message Service
JN ,  Jan Mayen Island (FIPS 10
JNI ,  Java Native Interface
JNLP ,  Java Network Launch Protocol
JO ,  Jordan (FIPS 10
JOA , (a/i) Joint Operations Area
JOD ,  Jordanian dinar (ISO 4217 currency code)
Jofa ,"  Jonssons fabriker (Swedish, ""Jonsson's Factories"")"
JOPES ,  Joint Operations Planning and Execution System
JOR ,  Jordan (ISO 3166 trigram)
JOTS ,  Joint Operations Tactical System
JSP ,  Joint Services Publication
JP ,  Japan (ISO 3166 digram) 
JPEG ,"  Joint Photographic Experts Group (""djay"
JPL ,  Jet Propulsion Laboratory
jpn ,  Japanese language (ISO 639
JPN ,  Japan (ISO 3166 trigram)
JPOW ,  Joint Project Optic Windmill
JPY ,  Japanese yen (ISO 4217 currency code)
JQ ,  Jetstar Airways (IATA airline designator) 
JRA ,  Japanese Red Army 
JRDF ,  Joint Rapid Deployment Forces
JRE ,  Java Runtime Environment
JREF ,  James Randi Educational Foundation
JROC ,  Joint Requirements Oversight Council
JROCM ,  JROC Memorandum
JRRF ,  Joint Rapid Reaction Force
JRSAI , Journal of the Royal Society of Antiquaries of Ireland
JSAF ,  Joint Semi
JSAP ,  Japan Society of Applied Physics
JSCSC ,  Joint Services Command and Staff College
JSD ,"  juris scientiae doctor (Latin, ""doctor of science of law"")"
JSEAD ,  Joint Suppression of Enemy Air Defence (see SEAD)
JSF ,  Joint Strike Fighter
JSIMS ,  Joint Simulation System
JSOA ,  Joint Special Operations Area
JSOTF ,  Joint Special Operations Task Force
JSP ,  JavaServer Page
JSR ,  Java Specification Request
JSS ,  Joint Support Ship Project
JSTARS ,"  Joint Surveillance Target Attack Radar System (""djay"
JT ,  Johnston Atoll (ISO 3166 digram; obsolete 1986) 
JTAG ,"  Joint Test Action Group (""djay"
JTAGS ,"  Joint Tactical Ground Station (""djay"
JTC ,  Joint Training Confederation
JTF ,  Joint Task Force
JTFEX ,  Joint Task Force Exercise
JTIDS ,"  Joint Tactical Information Distribution System (""djay"
JTLS ,  Joint Theater Level Simulation
JTMD ,  Joint Theatre Missile Defence
JTN ,  Johnston Atoll (ISO 3166 trigram; obsolete 1986)
JTRS ," (a/i) Joint Tactical Radio System (""jitters"")"
JU ,  Juan de Nova Island (FIPS 10
JUGFET ,  JUnction Gate Field
JUICE ,  JUpiter ICy Moon Explorer
JUO ,  Joint Urban Operations
jv ,  Javanese language (ISO 639
JV ,  Joint Venture 
JVM ,  Java Virtual Machine
JW ,  Jehovah's Witnesses
JWARS ,  Joint Warfare System (simulation)
JWP ,  Joint Warfare Publication
JWST ,  James Webb Space Telescope
JY ,  Japanese Yen
JZ ,  Joint Zone
k ,  Kilo
K ,  Kelvin 
K9 ,  Canine Police Unit
ka ,  Georgian language (ISO 639
kA ,  Kiloampere
Ka ,  Kamov Design Bureau
KA ,  Knowledge Acquisition 
KAF , (i/a) Kandahar Air Field
kal ,  Kalaallisut language (ISO 639
kan ,  Kannada language (ISO 639
KANUKOKA ,"  Kalaallit Nunaanni Kommunit Kattuffiannit (Kalaallisut, ""Greenlandic Communities Association"")"
KARNAC ,  Knowledge Aided Retrieval in Activity Context
KARR ,  Knight Automated Roving Robot (Knight Rider character)
kas ,  Kashmiri language (ISO 639
kat ,  Georgian language (ISO 639
KATUSA ,  Korean Augmentation To United States Army
kau ,  Kanuri language (ISO 639
kaz ,  Kazakh language (ISO 639
KAZ ,  Kazakhstan (ISO 3166 trigram)
KBE ,  Knight Commander of the Order of the British Empire
KBO ,  Kuiper Belt Object
KBVB ,  Koninklijke Belgische Voetbalbond (Dutch for Royal Belgian Football Association)
kC ,  Kilocoulomb
KCK," Kansas City, Kansas,Koma Civakên Kurdistan (Kurdish, ""Union of Communities in Kurdistan"")"
KCL ,  King's College London
KCMO ,"  Kansas City, Missouri (pronounced ""K"
KCS ,  Kansas City Southern Railway (AAR reporting mark)
KD ,  Kawasaki Disease 
KE, Kenya (FIPS 10
KEDO ,  Korean Peninsula Energy Development Organization
KEN ,  Kenya (ISO 3166 trigram)
KERA ,  Kentucky Education Reform Act (of 1990)
kerma ,  Kinetic Energy Released in MAterial / in MAtter / per unit MAss
KES," Kenyan shilling (ISO 4217 currency code), Killer Elite Squad (Japanese professional wrestling stable)"
KESR ,  Kent and East Sussex Railway.
KET," Kentucky Educational Television, Key English Test,KF[edit]"
kF ,  Kilofarad
KFC ,  Kentucky Fried Chicken
KFOR ,  UN Kosovo Force
KFUPM , King Fahd University of Petroleum & Minerals
kg ,  Kilogram 
KG ,  Kyrgyzstan (FIPS 10
KGB ,"  Komitet Gosudarstvennoy Bezopasnosti (Russian ""Committee for State Security"") (1954"
KGO , Knight of the Guelphic Order of Hanover
KGS ,  Kyrgyz som (ISO 4217 currency code)
KGZ ,  Kyrgyzstan (ISO 3166 trigram)
kH ,  Kilohenry
KH ,  Cambodia (ISO 3166 digram)
khm ,  Khmer language (ISO 639
KHL ,  Kontinental Hockey League
KHM ,  Cambodia (ISO 3166 trigram)
KHR ,  Cambodian riel (ISO 4217 currency code)
KHz ,  Kilohertz
ki ,  Gikuyu language (ISO 639
Ki ,  Kibi
KI ,  Kiribati (ISO 3166 digram)
KIA ,  Killed In Action
KIDS ,  Knowledge
kik ,  Gikuyu language (ISO 639
kin ,  Kinyarwanda language (ISO 639
kir ,  Kyrgyz language (ISO 639
KIR ,  Kiribati (ISO 3166 trigram)
KISS ,"  Keep It Simple, Stupid / Keep It Short and Simple "
KITECH ,  Korean Institute of Industrial Technology
KITT ,  Knight Industries Two Thousand 
KIT , Keep In Touch
kj ,  Kuanyama language (ISO 639
kJ ,  Kilojoule
kk ,  Kazakh language (ISO 639
kK ,  Kilokelvin
KK," Kabushiki kaisha (Japanese for ""Stock Company"", found in the legal names of countless Japanese corporations),Košarkarski klub (Slovenian), Košarkaški Klub (Croatian and Serbian in Latin script), ?????????? ???? (Serbian Cyrillic), Krepšinio Klubas (Lithuanian); all mean ""Basketball Club"", as in KK Union Olimpija, KK Cibona, KK Partizan, and KK Atletas"
KKK ,  Ku Klux Klan
kl ,  Kalaallisut language (ISO 639
kL ,  Kilolitre
KL ,  Kuala Lumpur 
KLENOT ,  KLE? Observatory Near Earth and Other unusual objects observations Team and Telescope
KLM ,"  Koninklijke Luchtvaart Maatschappij (Dutch ""Royal Dutch Airlines"")"
KLOC ,  Kilo Lines Of Code
KLS, Kleine
km ,  Khmer language (ISO 639
KM ,  Comoros 
KMF ,  Comoro franc (ISO 4217 currency code)
KMFDM ,"  Kein mitleid für die mehrheit (German ""No pity for the majority"" music band)"
KMR ,  Kwajalein Missile Range
kn ,  Kannada language (ISO 639
kN ,  Kilonewton
KN ,  Democratic People's Republic of Korea (FIPS 10
KNA ,  Saint Kitts and Nevis (ISO 3166 trigram)
KNVB ,  Koninklijke Nederlandse Voetbal Bond (Dutch for Royal Dutch Football Association)
ko ,  Korean language (ISO 639
KO ,  Knocked Out
kom ,  Komi language (ISO 639
kon ,  Kongo language (ISO 639
kor ,  Korean language (ISO 639
KOR ,  Republic of Korea (ISO 3166 trigram)
KP ,  Kim Possible
KPMG ,"  Klynveld, Peat, Marwick, Goerdeler"
KPNO ,  Kitt Peak National Observatory
KPV ,"  Krupnokaliberniy Pulemet Vladimorova (Russian ???? ???????????????? ??????? ???????????, ""Large"
KPVT ,"  Krupnokaliberniy Pulemet Vladimorova Tankoviy (Russian ???? ???????????????? ??????? ??????????? ????????, ""Large"
KPW ,  North Korean won (ISO 4217 currency code)
KQ ,  Kenya Airways (IATA airline designator) 
kr ,  Kanuri language (ISO 639
Kr ,  Krypton
KR ,  Kiribati (FIPS 10
KRW ,  South Korean won (ISO 4217 currency code)
ks, Kashmiri language (ISO 639
kS ,  Kilosiemens
KS," Kansas (postal symbol),Republic of Korea (FIPS 10"
KSC ,  Kennedy Space Center
KSI ,  Killed or Seriously Injured
KSM," Korean Service Medal,Khalid Sheikh Mohammed"
KSU ,  Kansas State University
kT ,  Kilotesla
KT ,  Christmas Island (FIPS 10
KTS ,  Knight of the Tower and Sword (of Portugal)
ku ,  Kurdish language (ISO 639
KU ,  Kuwait (FIPS 10
kua ,  Kuanyama language (ISO 639
KUL ,"  Katholieke Universiteit Leuven (Flemish, Catholic University of Leuven)"
kur ,  Kurdish language (ISO 639
KUW ,"  Kuwait (UNDP country code, IOC and FIFA trigram, but not ISO 3166)"
kv ,  Komi language (ISO 639
kV ,  Kilovolt
KV ,  Kosovo
KV ,  Kavminvodyavia (IATA airline designator) 
KVM ,"  Keyboard, Video, Mouse switch"
KVT ,  Killer
kw ,  Cornish language (ISO 639
kW ,  Kilowatt
KW ,  Kuwait (ISO 3166 digram)
KWB , Kids' WB!
KWD ,  Kuwaiti dinar (ISO 4217 currency code)
KWT ,  Kuwait (ISO 3166 trigram)
KX ,  Cayman Airways (IATA airline designator)
ky ,  Kyrgyz language (ISO 639
KY," Cayman Islands (ISO 3166 digram),Kentucky (postal symbol)"
KYD ,  Cayman Islands dollar (ISO 4217 currency code)
KZ ,  Kazakhstan (FIPS 10
KZN ,  KwaZulu
KZT ,  Kazakh tenge (ISO 4217 currency code)
L ,  Fifty (in Roman numerals) 
la ,  Latin language (ISO 639
La ,  Lanthanum
LA, Laos (FIPS 10
LAAS," Local Area Augmentation System,Los Angeles Astronomical Society"
LAB ,  Logistics Assault Base
LabVIEW ,  Laboratory Virtual Instrumentation Engineering Workbench
LACMA , (a/i) Los Angeles County Museum of Art
LAD ,  Laser Aiming Device
LADW ,  Local Air Defence Warning
LAESI ,  Local Authority & Emergency Service Information
LAK ,  Laotian kip (ISO 4217 currency code)
LAMP , (multiple meanings)
LAN ,  Local Area Network
LANL ,  Los Alamos National Laboratory
lao ,  Lao language (ISO 639
LAO ,  Laos (ISO 3166 trigram)
LAPD ,  Los Angeles Police Department
LAR," Light Armoured Reconnaissance,Logistics Assistance Representative"
LARC ,  Livermore Advanced Research Computer (cf. LLNL)
LARP ,  Live
LAS ,"  McCarran International Airport (Las Vegas, Nevada)"
Laser ,  Light Amplification by Stimulated Emission of Radiation (cf. Maser)
lat ,  Latin language (ISO 639
LAT,"(i/a) Lowest Astronomical Tide (nautical charts),Licensed Athletic Trainer (used in many of the United States; see www.oata.org)"
LATA ,  Local Access Transport Area
LATCH ,  Lower Anchors and Tethers for Children (U.S. standard for attachment points for child safety seats in passenger cars)
lav ,  Latvian language (ISO 639
LAV," Land Assault Vehicle,Light Armoured Vehicle,Lymphadenopathy"
LAW ,  Light Antitank Weapon
LAX," Los Angeles International Airport, The Latin American Xchange (professional wrestling),LB[edit]"
lb," pound (Latin librum),Luxembourgish language (ISO 639"
LB ,  Lebanon (ISO 3166 digram)
LBH," Light Battlefield Helicopter,Lyman"
LBJ," Lady Bird Johnson,LeBron James,Light Bulb Joke,Little Beagle Johnson (the dog owned by Lyndon and Lady Bird Johnson),Lyndon Baines Johnson"
LBN ,  Lebanon (ISO 3166 trigram)
LBNL ,  Lawrence Berkeley National Laboratory
LBP ,  Lebanese pound (ISO 4217 currency code)
LBR ,  Liberia (ISO 3166 trigram)
LBS ,  Location
lbs ,"  pounds (plural form of lb, see above)"
LBT ,  Large Binocular Telescope
LBW ,  Leg Before Wicket
LBY ,  Libya (ISO 3166 trigram)
LC ,  Line of Contact 
LCA ,  Saint Lucia (ISO 3166 trigram)
LCC ,  Land Component Commander
LCCP ,  Light Contingency Communications Package
LCD ,  Liquid Crystal Display
LCE ,  Leaving Certificate Examination 
LCM ,  Least/Lowest Common Multiple
LCol ,  Lieutenant
LCS , League of Legends Championship Series
LD," Laser Designator,Limited Deployment,Line of Departure"
LDA ,  Lateral Drift Apparatus (paratroops)
LDAP ," (a/i) Lightweight Directory Access Protocol (pronounced ""ell"
LDC ,  Lesser Developing/Developed Country
LDL ,  Low
LDMOS ," (i/a) Laterally diffused MOS transistor (""ell"
LDS, Latter
LDV ,  Local Defence Volunteers (British Home Guard)
LDW , Lane Departure Warning (ADAS)
LE ,  Lebanon (FIPS 10
LEC ,  Local Exchange Carrier
LED ,  Light
Legs ,  level emotion gad speed
LEGAD ,  Legal Advice
LEMOSS ,  Long
LEN ,  Large Extension Node
LEO ,  Low Earth orbit
LEP ,  Large Electron
LER ,  Loss
LEU ,  Low
LF ,  Low Frequency
LFO ,  Low Frequency Oscillation / Oscillator
LFTR ,  Liquid fluoride thorium reactor
lg ,  Luganda (ISO 639
LG ,  Latvia (FIPS 10
LGB," Lesbian, Gay, Bisexual,Laser"
LGBT ,"  Lesbian, Gay, Bisexual, Transgender"
LGLO ,"  Love God, Love Others"
LGM ,  Little Green Men
LGS ,  Landsat Ground Station
LH ,  Lithuania (FIPS 10
LHC ,  Large Hadron Collider
LHD," litterarum humaniorum doctor (Latin, ""doctor of humane letters (humanities)""),Left"
LHS ,  Left Hand Side
li ,  Limburgish language (ISO 639
Li ,  Lithium
LI ,  Fifty
LIBOR ,  London Interbank Offered Rate
LIBS ,  Laser Induced Breakdown Spectroscopy
LIE ,  Liechtenstein (ISO 3166 trigram)
LIFO ,"  Last In, First Out"
LIGO ,  Laser Interferometer Gravitational
lim ,  Limburgish language (ISO 639
lin ,  Lingala language (ISO 639
LINEAR ,  Lincoln Near
LISA ,  Laser Interferometer Space Antenna
lit ,  Lithuanian language (ISO 639
LITAS ,  Low Intensity Two Colour Approach System (aviation)
LIVE ,  Liquid Inertial Vibration Eliminator
LJ," La Jolla,Larry Johnson (both the American football and basketball players of that name),LaserJet (HP printer brand),Library Journal,Linux Journal,LiveJournal,Ljubljana,Lord Justice of Appeal, Sierra National Airlines (IATA code)"
LJJ ,  Lord Justices of Appeal
LK ,  Sri Lanka (ISO 3166 digram)
LKA ,  Sri Lanka (ISO 3166 trigram)
LKL ,"  Lietuvos krepšinio lyga (Lithuanian, ""Lithuanian Basketball League"")"
LKR ,  Sri Lanka rupee (ISO 4217 currency code)
LKR4 ,  Linkwitz
LL ,  Land Line (telephone) 
LLAD ,  Low Level Air Defence
LLB ,  Legum Baccalaureus (Latin: Bachelor of Laws)
LLC ,  Limited Liability Company
LLGC ,  Llyfrgell Genedlaethol Cymru (National Library of Wales) 
LLLTV ,  Low
LLNL ,  Lawrence Livermore National Laboratory
LLP ,  Limited Liability Partnership
LLTI ,  Limiting Long
LLTR ,  Low
LMAO ,  Laughing My Ass Off (Internet shorthand)
LMFAO ,"  Laughing My F**king Ass Off (Internet shorthand, electro"
LMB ,  Lick My Balls
LMN , (a/i) Lifetime Movie Network
LMS ,  London Mathematical Society 
LMS ,  Like My Status (Internet shorthand)
LMV , () Light Motor Vehicle
ln, Lingala language (ISO 639
LNB," Liga Nacional de Básquet (Rioplatense Spanish, ""National Basketball League""; top Argentine league),Ligue Nationale de Basketball (French, ""National Basketball League""; the organization that operates France's top two leagues, and the unrelated top league of Switzerland),Low"
LNER ,  London and North Eastern Railway
LNG ,  Liquefied Natural Gas
LNO ,  Liaison Officer
LNR ,"  Ligue Nationale de Rugby (French, ""National Rugby League"")"
lo ,  Lao language (ISO 639
LO ,  Slovakia (FIPS 10
LOA ,  Limit Of Advance
LOC , (a/i) Level of Operational Capability 
LOD , Limit of Detection 
LoD ,  Lines of Development (UK)
LOFAR ,  Low Frequency Analysis and Recording
LOGPAC ,  Logistics Package
LOL ,  Laughing Out Loud (Internet shorthand)
LOMEZ ,  Low Altitude Missile Engagement Zone
LONEOS ,  Lowell Observatory Near
LOOGY , (p/a) Lefty One
loq ,"  loquitur (Latin, "" he speaks"")"
LORTID ,  LOng Range Target IDentification
LOS ,  Line Of Sight
LOSAT ,  Line
LOTA ,  Licentiate of the Orthodontic Technicians Association
LOTIS ,  Livermore Optical Transient Imaging System
LOTS ,  Logistics Over
LP ,  Linkin Park 
LPC ,  Linear Predictive Coding
LPD ,  Landing Platform Dock (Navy hull classification) 
LPG ,  Liquefied Petroleum Gas (cf. LNG)
LPI ,  Low Probability of Intercept
LPS ,  Landsat Processing System 
LQ ,  Palmyra Atoll (FIPS 10
Lr ,  Lawrencium
LR ,  Liberia (ISO 3166 digram)
LRAD ,"  Long Range Acoustic Device (""ell"
LRC ,  Logistics iness Center
LRD ,  Liberian dollar (ISO 4217 currency code)
LRF ,  Laser rangefinder 
LRGW ,  Long
LRICBM ,  Limited Range ICBM
LRIP ,  Low Rate Initial Production
LRP ,  Logistics Release Point
LRPE ,  Long
LRS ,  Long Range Surveillance
LRU ,  Line
LS," Landing Support, Lesotho (ISO 3166 digram),Liechtenstein (FIPS 10"
LSAT ,"  Law School Admission Test (often pronounced as ""el"
LSD," Landing Ship, Dock (Navy hull classification),librae, solidii, denarii (Latin: Pounds, shillings and pence),lyserg"
LSE," Least Squares Estimate/Error,London School of Economics,London Stock Exchange"
LSI ,  Large
LSIF ,  Labour Sponsored Investment Fund
LSL ,  Lesotho loti (ISO 4217 currency code)
LSND ,  Liquid Scintillator Neutrino Detector
LSO ,  Lesotho (ISO 3166 trigram)
LSST ,  Large Synoptic Survey Telescope
LST ,"  Landing Ship, Tank (World War II; also known, not entirely affectionately, as ""Large Slow Target"")"
LSVW ,"  Light Support Vehicle, Wheeled"
lt ,  Lithuanian language (ISO 639
Lt ,  Lieutenant
LtC ,  Lieutenant
LT ,  Lesotho (FIPS 10
LTC ,  Long
Ltd ,  Limited
LTDP ,  Long
LTG ,  Lieutenant General 
LTI ,  Linear Time
LTM , Acronym for Laughing To Myself
LTL ,  Lithuanian litas (ISO 4217 currency code)
LTP ,  Long
LTU ,  Lithuania (ISO 3166 trigram)
ltz ,  Luxembourgish language (ISO 639
lu ,  Tshiluba language (ISO 639
Lu ,  Lutetium
LU ,  Acronym Love You
LU , Loonatics Unleashed
lub ,  Tshiluba language (ISO 639
LUCA ,  Last Universal Common Ancestor
lug ,  Luganda (ISO 639
LUG ,  Linux User Group
LULU ,  Locally Unwanted Land Use (urbanism)
LUT ,  Limited User Test (ing) 
LUVW ,"  Light Utility Vehicle, Wheeled"
LUX ,  Luxembourg (ISO 3166 trigram)
lv ,  Latvian language (ISO 639
LV," Las Vegas, Latvia (ISO 3166 digram), Launch Vehicle,Leading Vehicle, Leave, Left Ventricle,Level Valve,Linking Verb,Liverpool Victoria"
LVA ,  Latvia (ISO 3166 trigram)
LVAD," Left Ventricular Assist Device, Low"
LVEF ,  Left Ventricular Ejection Fraction
LVL ,  Latvian lats (ISO 4217 currency code)
Lw ,  Lawrencium (obsolete 1963)
LW ,  Land Warrior 
LWR ,  Laser warning receiver
LWRC ,  Land Warfare Resources Corporation
LWS ,  Land Warrior System
LX ,  Luxembourg (amateur radio ITU prefix) 
LX ,  Electrics (theatrical term)
LY ,  Libya (FIPS 10
LYAO , Laugh Your Ass Off
LYD ,  Libyan dinar (ISO 4217 currency code)
LYLAS ,  Love You Like A Sister
LZ ,  Bulgaria (amateur radio ITU prefix) 
m ,  Metre 
M ,  Mega
mA ,  Milliampere
